Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,67.077500,68.407000,67.077500,68.368500,68.368500,28134620
2020-01-03,67.393000,68.625000,67.277000,68.033000,68.033000,23740120
2020-01-06,67.500000,69.825000,67.500000,69.710500,69.710500,34662980
2020-01-07,69.897000,70.149500,69.519000,69.667000,69.667000,30233860
2020-01-08,69.604000,70.579000,69.542000,70.216000,70.216000,30583540
2020-01-09,71.028500,71.366500,70.513500,70.991500,70.991500,30053280
2020-01-10,71.378000,71.746500,70.917500,71.486500,71.486500,36431320
2020-01-13,71.806500,72.026000,71.301000,71.961500,71.961500,33069640
2020-01-14,71.950500,72.090000,71.418500,71.544000,71.544000,31209060
2020-01-15,71.510500,72.070000,71.510500,71.960000,71.960000,25653700
2020-01-16,72.372000,72.599500,72.046000,72.585000,72.585000,23473760
2020-01-17,73.145500,74.065000,72.911000,74.019500,74.019500,47924300
2020-01-21,73.956000,74.592500,73.560000,74.220000,74.220000,40735600
2020-01-22,74.550000,75.160500,74.246500,74.297500,74.297500,32216920
2020-01-23,74.382000,74.776000,74.105000,74.332500,74.332500,27027080
2020-01-24,74.679500,74.775000,73.262500,73.335500,73.335500,35692880
2020-01-27,71.550000,71.903500,71.060000,71.695000,71.695000,35104020
2020-01-28,72.150000,72.800000,71.623500,72.628000,72.628000,31548440
2020-01-29,72.940000,73.271500,72.337000,72.931500,72.931500,21573340
2020-01-30,71.998000,72.864000,71.820000,72.792000,72.792000,26788420
2020-01-31,73.445000,73.506500,71.426500,71.711500,71.711500,48344280
2020-02-03,72.970000,74.500000,72.949500,74.297000,74.297000,61104320
2020-02-04,72.853500,73.475000,71.315000,72.353500,72.353500,78659080
2020-02-05,73.121000,73.192000,71.528000,72.411500,72.411500,39723140
2020-02-06,72.516500,74.100000,72.478500,73.811500,73.811500,33587680
2020-02-07,73.365000,74.292000,73.317500,73.961500,73.961500,23445400
2020-02-10,73.716000,75.475000,73.716000,75.434000,75.434000,28397520
2020-02-11,75.590500,76.481500,75.282000,75.439500,75.439500,26892660
2020-02-12,75.724000,76.035000,75.405500,75.913500,75.913500,23351300
2020-02-13,75.634500,76.359000,75.230000,75.733000,75.733000,18594600
2020-02-14,75.780000,76.037000,75.367000,76.037000,76.037000,23956720
2020-02-18,75.750000,76.581500,75.629500,75.983500,75.983500,22422800
2020-02-19,76.253500,76.605500,76.070000,76.334500,76.334500,18985360
2020-02-20,76.100000,76.482000,75.341000,75.907500,75.907500,21931040
2020-02-21,75.401500,75.611000,74.022000,74.255500,74.255500,34645460
2020-02-24,71.305500,71.848500,70.569500,71.079500,71.079500,57341060
2020-02-25,71.650000,71.907000,69.120000,69.422500,69.422500,49565560
2020-02-26,69.807000,70.785000,68.950000,69.659000,69.659000,44080740
2020-02-27,67.938500,68.585000,65.858500,65.904500,65.904500,59566000
2020-02-28,63.875000,67.057000,63.550000,66.966500,66.966500,75812360
2020-03-02,67.580500,69.543500,66.341000,69.455500,69.455500,48629360
2020-03-03,69.884000,70.507500,66.600000,67.069500,67.069500,48046520
2020-03-04,67.961500,69.404500,67.155500,69.326000,69.326000,38266300
2020-03-05,67.510000,67.945500,65.255000,65.952000,65.952000,51225760
2020-03-06,63.853000,65.311000,63.052500,64.920500,64.920500,53212560
2020-03-09,60.265000,62.738000,60.000000,60.778000,60.778000,67307300
2020-03-10,63.000000,64.057500,60.938500,64.019500,64.019500,52227460
2020-03-11,62.485000,63.048000,59.803500,60.770500,60.770500,52224580
2020-03-12,56.300000,59.693500,55.665000,55.745500,55.745500,84534960
2020-03-13,58.950000,60.988000,55.857200,60.986500,60.986500,74002500
2020-03-16,54.800000,57.613300,53.722000,54.216500,54.216500,85047300
2020-03-17,54.655500,56.543000,52.800500,55.990000,55.990000,77229780
2020-03-18,52.825500,55.325000,51.864000,54.840000,54.840000,84668700
2020-03-19,54.652500,57.898500,53.005400,55.764500,55.764500,73022120
2020-03-20,56.786000,57.199500,53.274500,53.616000,53.616000,72035000
2020-03-23,53.066000,53.566000,50.676800,52.831000,52.831000,80882740
2020-03-24,55.188500,56.750000,54.531000,56.723000,56.723000,66889000
2020-03-25,56.323500,57.445000,54.300500,55.124500,55.124500,81630560
2020-03-26,55.590000,58.498500,54.676500,58.087500,58.087500,71475100
2020-03-27,56.283500,57.533500,55.295500,55.535500,55.535500,64169900
